Company Name,Ticker,Industry,Business Model 1,Business Model 2,Business Model 3,Company Power #1,Company Power #2,Company Power #3,Mechanism #1,Mechanism #2,Mechanism #3
Air Products and Chemicals Inc.,APD_US,Industrial Gases,Mission-Critical Products & Services,Physical Infra & Networks,Low Cost Operators,Scale,Switching Costs,Cornered Resource,Scale: Area/Volume Relationships,Switching Costs: Contractual Lock-In,Cornered Resource: Scarce Natural Asset
Airbnb Inc.,ABNB_US,Home Sharing,Marketplaces & Platforms,,,Network Effects,Scale,Brand,Network Effects: Cross-Side,Scale: Learning-Curve Effects,Brand: Trust Halo
Airbus SE,AIR_FR,Commercial Aircraft,Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Scale,Switching Costs,Cornered Resource,Scale: Learning-Curve Effects,Switching Costs: Retraining Time,Cornered Resource: Exclusive Ip
Airtel Africa,AAF_GB,African Wireless,Physical Infra & Networks,Low Cost Operators,Mission-Critical Products & Services,Scale,Cornered Resource,Network Effects,Scale: Area/Volume Relationships,Cornered Resource: Scarce Natural Asset,Network Effects: Same-Side
Aixtron Se,AIXA_DE,Semiconductor Deposition,Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Switching Costs,Cornered Resource,Scale,Switching Costs: Retraining Time,Cornered Resource: Exclusive Ip,Scale: Learning-Curve Effects
Ajinomoto Co Inc,2802_JP,Flavor Ingredients,Unique IP & Brands,Mission-Critical Products & Services,Low Cost Operators,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
Akamai Technologies Inc.,AKAM_US,Infrastructure Software,Physical Infra & Networks,B2B Software,Mission-Critical Products & Services,Scale,Switching Costs,Network Effects,Scale: Area/Volume Relationships,Switching Costs: Data-Portability Frictions,Network Effects: Same-Side
Akzo Nobel NV,AKZOY_US,Decorative Paints,Unique IP & Brands,Low Cost Operators,Serial Acquirer,Brand,Scale,Process Power,Brand: Trust Halo,Scale: Purchasing Clout,Process Power: Proprietary Routines
Alamo Group Inc.,ALG_US,Heavy Equipment: Agriculture,Serial Acquirer,Mission-Critical Products & Services,OEMs w/ Installed Base,Scale,Brand,Switching Costs,Scale: Purchasing Clout,Brand: Trust Halo,Switching Costs: Retraining Time
Alarm.com Holdings Inc.,ALRM_US,Industrial & Supply Chain,B2B Software,Mission-Critical Products & Services,Physical Infra & Networks,Switching Costs,Scale,Network Effects,Switching Costs: Data-Portability Frictions,Scale: Area/Volume Relationships,Network Effects: Cross-Side
Alaska Air Group Inc.,ALK_US,Regional Carrier,Low Cost Operators,Physical Infra & Networks,,Scale,Cornered Resource,Process Power,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Process Power: Proprietary Routines
Albemarle Corporation,ALB_US,Lithium Production,Mission-Critical Products & Services,Low Cost Operators,Physical Infra & Networks,Cornered Resource,Scale,Process Power,Cornered Resource: Scarce Natural Asset,Scale: Area/Volume Relationships,Process Power: Proprietary Routines
Albertsons Companies Inc.,ACI_US,Supermarkets,Low Cost Operators,Vertically Integrated Retailer,Serial Acquirer,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
Alcon Inc.,ALC_US,Eye Care,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Switching Costs,Scale,Brand,Switching Costs: Retraining Time,Scale: Purchasing Clout,Brand: Trust Halo
Alight Inc,ALIT_US,Enterprise Software: HCM,B2B Software,Mission-Critical Products & Services,Serial Acquirer,Switching Costs,Scale,Process Power,Switching Costs: Data-Portability Frictions,Scale: Purchasing Clout,Process Power: Proprietary Routines
Align Technology Inc.,ALGN_US,Clear Aligners,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Cornered Resource,Brand,Scale,Cornered Resource: Exclusive Ip,Brand: Trust Halo,Scale: Learning-Curve Effects
Alkami Technology Inc.,ALKT_US,Enterprise Software: VMS,B2B Software,Mission-Critical Products & Services,,Switching Costs,Scale,Process Power,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Process Power: Proprietary Routines
Allegiant Travel Company,ALGT_US,Leisure Carrier,Low Cost Operators,Physical Infra & Networks,Vertically Integrated Retailer,Counter-Positioning,Scale,Cornered Resource,Counter-Positioning: Entrant Model Incumbents Can'T Mimic Without Self-Harm,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset
Allegion plc,ALLE_US,Building Products Manufacturers: Safety & Security,Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Brand,Scale,Switching Costs,Brand: Trust Halo,Scale: Purchasing Clout,Switching Costs: Retraining Time
Allegro MicroSystems Inc.,ALGM_US,Semiconductors: IDM,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Switching Costs,Cornered Resource,Scale,Switching Costs: Retraining Time,Cornered Resource: Exclusive Ip,Scale: Learning-Curve Effects
Allient Inc.,ALNT_US,Electrical Components: Controls,Mission-Critical Products & Services,OEMs w/ Installed Base,Serial Acquirer,Switching Costs,Scale,Process Power,Switching Costs: Retraining Time,Scale: Purchasing Clout,Process Power: Proprietary Routines
Allison Transmission Holdings Inc.,ALSN_US,Heavy Equipment: Components,Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Scale,Switching Costs,Cornered Resource,Scale: Purchasing Clout,Switching Costs: Retraining Time,Cornered Resource: Exclusive Ip
Alphatec Holdings Inc.,ATEC_US,Spine Surgery,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Switching Costs,Cornered Resource,Scale,Switching Costs: Retraining Time,Cornered Resource: Exclusive Ip,Scale: Learning-Curve Effects
Alstom,ALO_FR,Heavy Equipment: Transportation,Mission-Critical Products & Services,OEMs w/ Installed Base,Physical Infra & Networks,Scale,Switching Costs,Brand,Scale: Purchasing Clout,Switching Costs: Contractual Lock-In,Brand: Trust Halo
Alta Equipment Group Inc.,ALTG_US,Equipment Rental: Dealer,Serial Acquirer,B2B Middlemen,Low Cost Operators,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Contractual Lock-In,Process Power: Proprietary Routines
Alten SA,ATE_FR,IT Services,B2B Software,Mission-Critical Products & Services,Serial Acquirer,Scale,Switching Costs,Process Power,Scale: Learning-Curve Effects,Switching Costs: Retraining Time,Process Power: Proprietary Routines
Altice USA Inc.,ATUS_US,Cable MSO,Physical Infra & Networks,Mission-Critical Products & Services,Serial Acquirer,Scale,Switching Costs,Cornered Resource,Scale: Area/Volume Relationships,Switching Costs: Contractual Lock-In,Cornered Resource: Scarce Natural Asset
Altria Group Inc.,MO_US,Cigarettes,Unique IP & Brands,Low Cost Operators,Mission-Critical Products & Services,Brand,Scale,Cornered Resource,Brand: Emotional Resonance,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip
Ambarella Inc.,AMBA_US,Fabless Design,Unique IP & Brands,Mission-Critical Products & Services,OEMs w/ Installed Base,Cornered Resource,Switching Costs,Scale,Cornered Resource: Exclusive Ip,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects
Ambev S.A.,ABEV_US,Beer,Low Cost Operators,Unique IP & Brands,Serial Acquirer,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Emotional Resonance,Process Power: Proprietary Routines
Ambu a/S/ADR,AMBUB_DK,Single-Use Devices,Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Switching Costs,Scale,Brand,Switching Costs: Retraining Time,Scale: Purchasing Clout,Brand: Trust Halo
AMC Entertainment Holdings Inc.,AMC_US,Theater Chain,Physical Infra & Networks,Low Cost Operators,,Scale,Cornered Resource,Brand,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Brand: Emotional Resonance
AMC Networks Inc.,AMCX_US,Cable Networks,Unique IP & Brands,Physical Infra & Networks,,Brand,Cornered Resource,Scale,Brand: Emotional Resonance,Cornered Resource: Exclusive Ip,Scale: Purchasing Clout
Amcor plc,AMCR_US,Flexible Packaging,Low Cost Operators,Mission-Critical Products & Services,Serial Acquirer,Scale,Process Power,Switching Costs,Scale: Purchasing Clout,Process Power: Proprietary Routines,Switching Costs: Contractual Lock-In
Ameresco Inc.,AMRC_US,Construction and Engineering: Energy Services,Mission-Critical Products & Services,Physical Infra & Networks,Serial Acquirer,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Contractual Lock-In,Process Power: Proprietary Routines
America Movil S.A.B. de C.V.n Depositary Shares (each representing the right to receive twenty (20) Series B Shares,AMXB_MX,Latin Telecom,Physical Infra & Networks,Serial Acquirer,Low Cost Operators,Scale,Cornered Resource,Switching Costs,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Switching Costs: Contractual Lock-In
American Airlines Group Inc.,AAL_US,Legacy Carrier,Physical Infra & Networks,Low Cost Operators,Mission-Critical Products & Services,Scale,Cornered Resource,Switching Costs,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Switching Costs: Contractual Lock-In
American Axle & Manufacturing Holdings Inc.,AXL_US,Auto Suppliers: Powertrain Products,Mission-Critical Products & Services,Low Cost Operators,OEMs w/ Installed Base,Scale,Process Power,Switching Costs,Scale: Purchasing Clout,Process Power: Proprietary Routines,Switching Costs: Contractual Lock-In
American Eagle Outfitters Inc.,AEO_US,Youth Apparel,Vertically Integrated Retailer,Unique IP & Brands,,Brand,Scale,Process Power,Brand: Emotional Resonance,Scale: Purchasing Clout,Process Power: Proprietary Routines
American Express Company,AXP_US,Card Network,Marketplaces & Platforms,Mission-Critical Products & Services,Unique IP & Brands,Network Effects,Brand,Scale,Network Effects: Cross-Side,Brand: Trust Halo,Scale: Purchasing Clout
American Outdoor Brands Inc.,AOUT_US,Diversified Outdoor Equipment & Gear,Unique IP & Brands,Low Cost Operators,Serial Acquirer,Brand,Scale,Process Power,Brand: Trust Halo,Scale: Purchasing Clout,Process Power: Proprietary Routines
American Superconductor Corporation,AMSC_US,Electrical Components: Power,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Cornered Resource,Switching Costs,Scale,Cornered Resource: Exclusive Ip,Switching Costs: Contractual Lock-In,Scale: Learning-Curve Effects
American Vanguard Corporation,AVD_US,Crop Protection,Mission-Critical Products & Services,Unique IP & Brands,Serial Acquirer,Brand,Cornered Resource,Scale,Brand: Trust Halo,Cornered Resource: Exclusive Ip,Scale: Purchasing Clout
American Well Corporation,AMWL_US,Telehealth,B2B Software,Marketplaces & Platforms,Mission-Critical Products & Services,Network Effects,Switching Costs,Scale,Network Effects: Cross-Side,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects
American Woodmark Corporation,AMWD_US,Building Products Manufacturers: Cabinetry,Low Cost Operators,OEMs w/ Installed Base,Vertically Integrated Retailer,Scale,Process Power,Brand,Scale: Purchasing Clout,Process Power: Proprietary Routines,Brand: Trust Halo
America's Car-Mart Inc.,CRMT_US,Traditional Auto Dealer,Low Cost Operators,Vertically Integrated Retailer,,Scale,Process Power,Counter-Positioning,Scale: Purchasing Clout,Process Power: Proprietary Routines,Counter-Positioning: Entrant Model Incumbents Can't Mimic Without Self-Harm
AMETEK Inc.,AME_US,Electrical Components: Controls,Mission-Critical Products & Services,Serial Acquirer,OEMs w/ Installed Base,Switching Costs,Scale,Process Power,Switching Costs: Retraining Time,Scale: Purchasing Clout,Process Power: Proprietary Routines
Amkor Technology Inc.,AMKR_US,Semiconductors: OSAT,Low Cost Operators,Mission-Critical Products & Services,B2B Middlemen,Scale,Process Power,Switching Costs,Scale: Area/Volume Relationships,Process Power: Proprietary Routines,Switching Costs: Retraining Time
Amphenol Corporation,APH_US,Interconnect Solutions,Mission-Critical Products & Services,Serial Acquirer,OEMs w/ Installed Base,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Retraining Time,Process Power: Proprietary Routines
Amplifon,AMP_IT,Hearing Retail,Vertically Integrated Retailer,Serial Acquirer,Mission-Critical Products & Services,Scale,Brand,Switching Costs,Scale: Purchasing Clout,Brand: Trust Halo,Switching Costs: Retraining Time
Amplitude Inc.,AMPL_US,Enterprise Software: CRM,B2B Software,Mission-Critical Products & Services,,Switching Costs,Scale,Network Effects,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Network Effects: Data Network Effects
Analog Devices Inc.,ADI_US,Semiconductors: IDM,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Switching Costs,Cornered Resource,Scale,Switching Costs: Retraining Time,Cornered Resource: Exclusive Ip,Scale: Learning-Curve Effects
Andrew Peller Limited,ADW/A_CA,Wine,Vertically Integrated Retailer,Unique IP & Brands,Serial Acquirer,Brand,Scale,Cornered Resource,Brand: Emotional Resonance,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset
Angiodynamics Inc,ANGO_US,Vascular Access,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Switching Costs,Cornered Resource,Scale,Switching Costs: Retraining Time,Cornered Resource: Exclusive Ip,Scale: Purchasing Clout
Anheuser-Busch Inbev SA Sponsored,ABI_BE,Beer,Serial Acquirer,Unique IP & Brands,Low Cost Operators,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
Anika Therapeutics Inc.,ANIK_US,Joint Therapy,Mission-Critical Products & Services,Unique IP & Brands,,Cornered Resource,Switching Costs,Scale,Cornered Resource: Exclusive Ip,Switching Costs: Retraining Time,Scale: Learning-Curve Effects
ANSYS Inc.,ANSS_US,Enterprise Software: VMS,B2B Software,Mission-Critical Products & Services,Unique IP & Brands,Switching Costs,Cornered Resource,Scale,Switching Costs: Data-Portability Frictions,Cornered Resource: Exclusive Ip,Scale: Learning-Curve Effects
Anta Sports,2020_HK,Athletic Footwear,Unique IP & Brands,Vertically Integrated Retailer,Low Cost Operators,Brand,Scale,Process Power,Brand: Status Signaling,Scale: Purchasing Clout,Process Power: Proprietary Routines
Anta Sports,2020_HK,Athletic Footwear,Unique IP & Brands,Vertically Integrated Retailer,Low Cost Operators,Brand,Scale,Process Power,Brand: Status Signaling,Scale: Purchasing Clout,Process Power: Proprietary Routines
APi Group Corporation,APG_US,Construction and Engineering: Fire Protection,Mission-Critical Products & Services,Serial Acquirer,Low Cost Operators,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Contractual Lock-In,Process Power: Proprietary Routines
Apogee Enterprises Inc.,APOG_US,Building Products Manufacturers: Fenestration,Mission-Critical Products & Services,OEMs w/ Installed Base,B2B Middlemen,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Contractual Lock-In,Process Power: Proprietary Routines
AppFolio Inc.,APPF_US,Enterprise Software: VMS,B2B Software,Mission-Critical Products & Services,,Switching Costs,Scale,Network Effects,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Network Effects: Same-Side
Appian Corporation,APPN_US,Productivity Software & Tools,B2B Software,Mission-Critical Products & Services,Marketplaces & Platforms,Switching Costs,Scale,Network Effects,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Network Effects: Cross-Side
Apple Hospitality REIT Inc.,APLE_US,Hotel REIT,Physical Infra & Networks,Low Cost Operators,Serial Acquirer,Scale,Cornered Resource,Process Power,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Process Power: Proprietary Routines
Applied Industrial Technologies Inc.,AIT_US,Industrial Distribution: Fluid Power,B2B Middlemen,Mission-Critical Products & Services,Serial Acquirer,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Retraining Time,Process Power: Proprietary Routines
Applied Materials Inc.,AMAT_US,"Semiconductor Lithography, Deposition, Metrology/Inspection, Packaging",Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Scale,Switching Costs,Cornered Resource,Scale: Learning-Curve Effects,Switching Costs: Retraining Time,Cornered Resource: Exclusive Ip
Applied Optoelectronics Inc.,AAOI_US,Fabless Design,Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Scale,Cornered Resource,Process Power,Scale: Learning-Curve Effects,Cornered Resource: Exclusive Ip,Process Power: Proprietary Routines
Applovin Corporation,APP_US,Mobile Ad Platform,Marketplaces & Platforms,B2B Software,Serial Acquirer,Network Effects,Scale,Process Power,Network Effects: Cross-Side,Scale: Learning-Curve Effects,Process Power: Flywheel Feedback
AptarGroup Inc.,ATR_US,Dispensing Systems,Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Contractual Lock-In,Process Power: Proprietary Routines
Aptiv PLC,APTV_US,Auto Suppliers: Electronics,Mission-Critical Products & Services,OEMs w/ Installed Base,B2B Software,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Contractual Lock-In,Process Power: Proprietary Routines
Archrock Inc.,AROC_US,Compression Services,Mission-Critical Products & Services,Physical Infra & Networks,Low Cost Operators,Scale,Switching Costs,Cornered Resource,Scale: Area/Volume Relationships,Switching Costs: Contractual Lock-In,Cornered Resource: Scarce Natural Asset
Arcosa Inc.,ACA_US,Construction and Engineering: Infrastructure Products,Low Cost Operators,Mission-Critical Products & Services,Serial Acquirer,Scale,Process Power,Cornered Resource,Scale: Purchasing Clout,Process Power: Proprietary Routines,Cornered Resource: Scarce Natural Asset
Ardagh Metal Packaging S.A.,AMBP_US,Beverage Cans,Low Cost Operators,Mission-Critical Products & Services,Physical Infra & Networks,Scale,Process Power,Switching Costs,Scale: Area/Volume Relationships,Process Power: Proprietary Routines,Switching Costs: Contractual Lock-In
Ardent Health Partners Inc.,ARDT_US,Acute Care,Mission-Critical Products & Services,Physical Infra & Networks,Serial Acquirer,Scale,Cornered Resource,Switching Costs,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Switching Costs: Retraining Time
Argan Inc.,AGX_US,Construction and Engineering: Power Generation,Mission-Critical Products & Services,Low Cost Operators,Serial Acquirer,Scale,Process Power,Cornered Resource,Scale: Purchasing Clout,Process Power: Proprietary Routines,Cornered Resource: Superstar Talent
Arista Networks Inc.,ANET_US,Network Switches,B2B Software,Mission-Critical Products & Services,OEMs w/ Installed Base,Switching Costs,Scale,Process Power,Switching Costs: Retraining Time,Scale: Learning-Curve Effects,Process Power: Proprietary Routines
Aristocrat Technologies,ALL_AU,Gaming Hardware and Content,OEMs w/ Installed Base,Unique IP & Brands,B2B Software,Switching Costs,Scale,Cornered Resource,Switching Costs: Data-Portability Frictions,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip
Aritzia Inc,ATZ_CA,Women's Apparel,Vertically Integrated Retailer,Unique IP & Brands,,Brand,Scale,Process Power,Brand: Status Signaling,Scale: Purchasing Clout,Process Power: Proprietary Routines
Arkema,AKE_FR,Specialty Chemicals,Mission-Critical Products & Services,Unique IP & Brands,Serial Acquirer,Scale,Cornered Resource,Process Power,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip,Process Power: Proprietary Routines
Arm Holdings Limited,ARM_US,Fabless Design,Unique IP & Brands,B2B Software,Mission-Critical Products & Services,Cornered Resource,Switching Costs,Scale,Cornered Resource: Exclusive Ip,Switching Costs: Retraining Time,Scale: Learning-Curve Effects
